channel_budget_digital,channel_budget_tv,channel_budget_radio,channel_budget_newspaper,sales,spend_frequency,start_date,end_date,duration,roi,engagement_metrics,target_audience_size,demographics,zip_code,seasonality
345.15,156.0,37.8,69.2,22.1,1,2023-09-12,2023-11-13,62,2.271416588,42,80012,3,93225,1
66.75,46.0,39.3,45.1,10.4,1,2023-10-26,2023-12-06,41,2.124524024,461,63669,1,91206,0
25.8,18.3,45.9,69.3,9.3,2,2023-04-07,2023-05-25,48,2.221941585,922,74670,1,92627,3
227.25,145.1,41.3,58.5,18.5,0,2023-11-19,2024-02-02,75,1.787010185,38,38843,0,94553,0
271.2,165.2,10.8,58.4,12.9,2,2023-09-28,2023-11-20,53,2.604288077,910,71040,4,93010,0
13.05,8.7,48.9,75.0,7.2,1,2023-04-18,2023-07-12,85,2.603351423,755,32442,1,95345,0
86.25,57.5,32.8,23.5,11.8,1,2023-06-17,2023-08-20,64,1.771178553,680,58973,1,93437,1
180.3,120.2,19.6,11.6,13.2,0,2023-04-05,2023-05-11,36,2.543725966,341,31368,4,94558,3
12.9,8.6,2.1,1.0,4.8,1,2023-01-26,2023-03-12,45,0.8897253369,72,34089,1,93063,1
299.7,199.8,2.6,21.2,10.6,2,2023-12-05,2024-01-24,50,1.136431572,522,68630,4,95681,1
99.15,66.1,5.8,24.2,8.6,2,2023-07-13,2023-10-06,85,1.469769896,129,54519,2,92091,1
322.05,214.7,24.0,4.0,17.4,2,2023-02-13,2023-03-23,38,2.455154406,516,42665,3,94086,3
35.7,23.8,35.1,65.9,9.2,1,2023-04-11,2023-06-02,52,2.891172538,101,26422,1,95843,0
146.25,97.5,7.6,7.2,9.7,1,2023-11-01,2023-12-01,30,2.75364415,681,14344,1,91942,0
306.15,204.1,32.9,46.0,19.0,1,2023-08-21,2023-10-05,45,1.675734008,197,50430,0,93441,3
293.1,195.4,47.7,52.9,22.4,2,2023-01-09,2023-03-04,54,0.6420835103,947,41096,0,93286,3
101.7,67.8,36.6,114.0,12.5,1,2023-12-13,2024-02-17,66,0.7092796257,688,98940,4,94956,2
422.1,281.4,39.6,55.8,24.4,2,2023-05-13,2023-07-12,60,2.834460395,90,51658,1,92078,0
103.8,69.2,20.5,18.3,11.3,0,2023-03-07,2023-06-02,87,1.843068504,88,19435,3,94015,2
220.95,147.3,23.9,19.1,14.6,1,2023-12-02,2024-01-13,42,2.412354352,789,59310,3,95037,0
327.6,218.4,27.7,53.4,18.0,1,2023-06-21,2023-08-27,67,2.845592043,598,44680,1,93601,0
356.1,237.4,5.1,23.5,12.5,2,2023-12-31,2024-03-29,89,0.6732716884,276,16189,4,96140,1
19.8,13.2,15.9,49.6,5.6,1,2023-09-25,2023-11-21,57,0.8469530331,153,26497,2,93201,1
342.45,228.3,16.9,26.2,15.5,2,2023-01-31,2023-04-11,70,1.469566444,109,93498,3,93530,1
93.45,62.3,12.6,18.3,9.7,2,2023-03-03,2023-05-11,69,2.886766968,8,51491,2,95550,3
394.35,262.9,3.5,19.5,12.0,2,2023-01-29,2023-03-01,31,2.472248119,518,60114,0,92060,0
214.35,142.9,29.3,12.6,15.0,2,2023-05-11,2023-07-05,55,1.114229385,761,19708,0,93648,2
360.15,240.1,16.7,22.9,15.9,0,2023-06-01,2023-07-26,55,0.5801051169,13,65388,3,95358,1
373.2,248.8,27.1,22.9,18.9,2,2023-06-29,2023-08-03,35,2.721823388,130,69835,0,95442,0
105.9,70.6,16.0,40.8,10.5,2,2023-10-30,2024-01-09,71,1.719783438,984,17079,0,95503,1
439.35,292.9,28.3,43.2,21.4,1,2023-12-27,2024-03-17,81,0.5821113674,107,18978,1,94038,2
169.35,112.9,17.4,38.6,11.9,2,2023-06-13,2023-09-04,83,2.71176987,22,64568,3,90058,3
145.8,97.2,1.5,30.0,9.6,1,2023-03-23,2023-04-26,34,2.105467917,742,56404,4,90063,3
398.4,265.6,20.0,0.3,17.4,2,2023-03-23,2023-06-19,88,1.242479684,75,11590,0,92231,1
143.55,95.7,1.4,7.4,9.5,0,2023-07-30,2023-09-09,41,0.6111247824,613,96743,0,96003,0
436.05,290.7,4.1,8.5,12.8,0,2023-10-26,2023-12-14,49,0.6899756738,392,79114,0,95046,3
400.35,266.9,43.8,5.0,25.4,1,2023-03-30,2023-05-16,47,2.924034564,346,23910,3,95209,2
112.05,74.7,49.4,45.7,14.7,2,2023-01-20,2023-02-25,36,1.644993338,141,57071,2,90003,3
64.65,43.1,26.7,35.1,10.1,0,2023-12-12,2024-02-17,67,1.229376673,109,98435,1,90255,0
342.0,228.0,37.7,32.0,21.5,1,2023-07-21,2023-10-01,72,0.9315166432,392,72685,2,92398,0
303.75,202.5,22.3,31.6,16.6,0,2023-01-06,2023-02-28,53,1.344178445,965,20655,4,92129,0
265.5,177.0,33.4,38.7,17.1,1,2023-04-03,2023-05-03,30,2.870379503,535,25058,3,94539,2
440.4,293.6,27.7,1.8,20.7,1,2023-11-23,2024-02-10,79,2.861369622,292,93680,4,95405,1
310.35,206.9,8.4,26.4,12.9,1,2023-07-25,2023-10-11,78,0.5905408271,730,64617,3,95126,1
37.65,25.1,25.7,43.3,8.5,1,2023-08-20,2023-10-28,69,1.884919803,169,24195,3,91042,3
262.65,175.1,22.5,31.5,14.9,0,2023-03-07,2023-05-12,66,0.8688665998,139,19510,4,93291,1
134.55,89.7,9.9,35.7,10.6,2,2023-03-18,2023-05-23,66,1.866746146,102,58617,3,95240,1
359.85,239.9,41.5,18.5,23.2,0,2023-02-23,2023-04-09,45,1.196097653,75,47001,4,95318,2
340.8,227.2,15.8,49.9,14.8,2,2023-05-12,2023-06-11,30,1.459065688,493,39759,2,94515,2
100.35,66.9,11.7,36.8,9.7,1,2023-10-12,2023-11-26,45,0.568161547,553,76997,4,95230,1
299.7,199.8,3.1,34.6,11.4,1,2023-02-25,2023-05-04,68,0.5034874313,953,48303,4,96134,3
150.6,100.4,9.6,3.6,10.7,2,2023-09-30,2023-11-22,53,0.912991191,907,59353,1,96107,2
324.6,216.4,41.7,39.6,22.6,2,2023-07-09,2023-09-10,63,1.302280118,317,12967,1,93023,2
273.9,182.6,46.2,58.7,21.2,1,2023-09-01,2023-10-02,31,0.6071946874,767,31359,4,92241,2
394.05,262.7,28.8,15.9,20.2,0,2023-11-13,2024-02-08,87,0.6300745597,517,72561,1,91605,0
298.35,198.9,49.4,60.0,23.7,1,2023-02-17,2023-04-09,51,1.160344475,225,10044,0,94937,1
10.95,7.3,28.1,41.4,5.5,0,2023-05-27,2023-07-25,59,0.6310949768,948,12664,4,95404,3
204.3,136.2,19.2,16.6,13.2,0,2023-02-27,2023-05-24,86,1.297886376,433,43592,4,95131,3
316.2,210.8,49.6,37.7,23.8,1,2023-08-03,2023-09-07,35,2.224888189,175,90852,0,90744,0
316.05,210.7,29.5,9.3,18.4,2,2023-06-16,2023-08-27,72,1.307763869,845,84306,2,95357,0
80.25,53.5,2.0,21.4,8.1,2,2023-06-18,2023-09-07,81,1.57872004,149,89393,3,92113,2
391.95,261.3,42.7,54.7,24.2,2,2023-08-22,2023-10-05,44,1.861094423,139,49887,1,90275,2
358.95,239.3,15.5,27.3,15.7,1,2023-05-16,2023-07-03,48,2.470272554,695,94120,4,95452,0
154.05,102.7,29.6,8.4,14.0,1,2023-07-26,2023-08-28,33,0.7579082201,316,94684,1,95255,3
196.65,131.1,42.8,28.9,18.0,0,2023-11-03,2023-12-24,51,2.513906297,894,60727,0,90062,1
